Line,Station,NextStation,TravelTime,Interchange
Red,Kanhaiya Nagar,Keshav Puram,3,No
Red,Keshav Puram,Netaji Subhash Place,3,No
Red,Netaji Subhash Place,Kohat Enclave,2,Yes
Red,Kohat Enclave,Pitam Pura,2,No
Red,Pitam Pura,Rohini East,2,No
Red,Rohini East,Rohini West,2,No
Red,Rohini West,Rithala,2,No
Red,Rithala,End,0,No

Yellow,Samaypur Badli,Rohini Sector 18-19,3,No
Yellow,Rohini Sector 18-19,Haiderpur Badli Mor,3,No
Yellow,Haiderpur Badli Mor,Jahangirpuri,3,No
Yellow,Jahangirpuri,Adarsh Nagar,3,No
Yellow,Adarsh Nagar,Azadpur,3,Yes
Yellow,Azadpur,Model Town,3,No
Yellow,Model Town,GTB Nagar,3,No
Yellow,GTB Nagar,Vishwavidyalaya,3,No
Yellow,Vishwavidyalaya,Vidhan Sabha,3,No
Yellow,Vidhan Sabha,Civil Lines,3,No
Yellow,Civil Lines,Kashmere Gate,3,Yes
Yellow,Kashmere Gate,Chandni Chowk,2,No
Yellow,Chandni Chowk,Chawri Bazar,2,No
Yellow,Chawri Bazar,New Delhi,2,Yes
Yellow,New Delhi,Rajiv Chowk,2,Yes
Yellow,Rajiv Chowk,Patel Chowk,2,No
Yellow,Patel Chowk,Central Secretariat,2,Yes
Yellow,Central Secretariat,Udyog Bhawan,2,No
Yellow,Udyog Bhawan,Lok Kalyan Marg,2,No
Yellow,Lok Kalyan Marg,Jor Bagh,2,No
Yellow,Jor Bagh,Dilli Haat INA,2,Yes
Yellow,Dilli Haat INA,AIIMS,2,No
Yellow,AIIMS,Green Park,2,No
Yellow,Green Park,Hauz Khas,2,Yes
Yellow,Hauz Khas,Malviya Nagar,3,No
Yellow,Malviya Nagar,Saket,3,No
Yellow,Saket,Qutab Minar,3,No
Yellow,Qutab Minar,Chhatarpur,3,No
Yellow,Chhatarpur,Sultanpur,3,No
Yellow,Sultanpur,Ghitorni,3,No
Yellow,Ghitorni,Arjan Garh,3,No
Yellow,Arjan Garh,Guru Dronacharya,3,No
Yellow,Guru Dronacharya,Sikandarpur,3,Yes
Yellow,Sikandarpur,MG Road,3,No
Yellow,MG Road,IFFCO Chowk,3,No
Yellow,IFFCO Chowk,Millennium City Centre Gurugram,3,No
Yellow,Millennium City Centre Gurugram,End,0,No

Green,Inderlok,Ashok Park Main,2,Yes
Green,Ashok Park Main,Punjabi Bagh,2,Yes
Green,Punjabi Bagh,Punjabi Bagh West,2,No
Green,Punjabi Bagh West,Shivaji Park,2,Yes
Green,Shivaji Park,Madipur,2,No
Green,Madipur,Paschim Vihar East,2,No
Green,Paschim Vihar East,Paschim Vihar West,2,No
Green,Paschim Vihar West,Peera Garhi,2,No
Green,Peera Garhi,Udyog Nagar,2,No
Green,Udyog Nagar,Maharaja Surajmal Stadium,2,No
Green,Maharaja Surajmal Stadium,Nangloi,2,No
Green,Nangloi,Nangloi Railway Station,2,No
Green,Nangloi Railway Station,Rajdhani Park,2,No
Green,Rajdhani Park,Mundka,2,No
Green,Mundka,Mundka Industrial Area,2,No
Green,Mundka Industrial Area,Ghevra,2,No
Green,Ghevra,Tikri Kalan,2,No
Green,Tikri Kalan,Tikri Border,2,No
Green,Tikri Border,Pandit Shree Ram Sharma,2,No
Green,Pandit Shree Ram Sharma,Bahadurgarh City,2,No
Green,Bahadurgarh City,Brigadier Hoshiar Singh,2,No
Green,Brigadier Hoshiar Singh,End,0,No
Green2,Kirti Nagar,Satguru Ram Singh Marg,2,Yes
Green2,Satguru Ram Singh Marg,Ashok Park Main,2,No
Green2,Ashok Park Main,End,0,Yes

Violet,Kashmere Gate,Lal Quila,2,Yes
Violet,Lal Quila,Jama Masjid,2,No
Violet,Jama Masjid,Delhi Gate,2,No
Violet,Delhi Gate,ITO,2,No
Violet,ITO,Mandi House,2,No
Violet,Mandi House,Janpath,2,Yes
Violet,Janpath,Central Secretariat,2,No
Violet,Central Secretariat,Khan Market,2,Yes
Violet,Khan Market,Jawaharlal Nehru Stadium,2,No
Violet,Jawaharlal Nehru Stadium,Jangpura,2,No
Violet,Jangpura,Lajpat Nagar,2,No
Violet,Lajpat Nagar,Moolchand,2,Yes
Violet,Moolchand,Kailash Colony,2,No
Violet,Kailash Colony,Nehru Place,2,No
Violet,Nehru Place,Kalkaji Mandir,2,No
Violet,Kalkaji Mandir,Govind Puri,2,Yes
Violet,Govind Puri,Harkesh Nagar Okhla,2,No
Violet,Harkesh Nagar Okhla,Jasola Apollo,2,No
Violet,Jasola Apollo,Sarita Vihar,2,No
Violet,Sarita Vihar,Mohan Estate,2,No
Violet,Mohan Estate,Tughlakabad,2,No
Violet,Tughlakabad,Badarpur Border,2,No
Violet,Badarpur Border,Sarai,2,No
Violet,Sarai,NHPC Chowk,2,No
Violet,NHPC Chowk,Mewla Maharajpur,2,No
Violet,Mewla Maharajpur,Sector 28,2,No
Violet,Sector 28,Badkal Mor,2,No
Violet,Badkal Mor,Old Faridabad,2,No
Violet,Old Faridabad,Neelam Chowk Ajronda,2,No
Violet,Neelam Chowk Ajronda,Bata Chowk,2,No
Violet,Bata Chowk,Escorts Mujesar,2,No
Violet,Escorts Mujesar,Sant Surdas (Sihi),2,No
Violet,Sant Surdas (Sihi),Raja Nahar Singh,2,No
Violet,Raja Nahar Singh,End,0,No

Pink,Majlis Park,Azadpur,2,No
Pink,Azadpur,Shalimar Bagh,2,Yes
Pink,Shalimar Bagh,Netaji Subhash Place,2,No
Pink,Netaji Subhash Place,Shakurpur,2,Yes
Pink,Shakurpur,Punjabi Bagh West,2,No
Pink,Punjabi Bagh West,ESI - Basaidarapur,2,Yes
Pink,ESI - Basaidarapur,Rajouri Garden,3,No
Pink,Rajouri Garden,Mayapuri,2,Yes
Pink,Mayapuri,Naraina Vihar,2,No
Pink,Naraina Vihar,Delhi Cantt,2,No
Pink,Delhi Cantt,Durgabai Deshmukh South Campus,2,No
Pink,Durgabai Deshmukh South Campus,Sir M. Vishweshwaraiah Moti Bagh,2,No
Pink,Sir M. Vishweshwaraiah Moti Bagh,Bhikaji Cama Place,2,No
Pink,Bhikaji Cama Place,Sarojini Nagar,2,No
Pink,Sarojini Nagar,Dilli Haat - INA,2,No
Pink,Dilli Haat - INA,South Extension,2,Yes
Pink,South Extension,Lajpat Nagar,2,No
Pink,Lajpat Nagar,Vinobapuri,2,Yes
Pink,Vinobapuri,Ashram,2,No
Pink,Ashram,Sarai Kale Khan - Nizamuddin,2,No
Pink,Sarai Kale Khan - Nizamuddin,Mayur Vihar Phase 1,2,No
Pink,Mayur Vihar Phase 1,Mayur Vihar Pocket I,2,Yes
Pink,Mayur Vihar Pocket I,Trilokpuri-Sanjay Lake,2,No
Pink,Trilokpuri-Sanjay Lake,East Vinod Nagar - Mayur Vihar-II,2,No
Pink,East Vinod Nagar - Mayur Vihar-II,Mandawali - West Vinod Nagar,2,No
Pink,Mandawali - West Vinod Nagar,IP Extension,2,No
Pink,IP Extension,Anand Vihar ISBT,2,No
Pink,Anand Vihar ISBT,Karkarduma,2,Yes
Pink,Karkarduma,Karkarduma Court,2,Yes
Pink,Karkarduma Court,Krishna Nagar,2,No
Pink,Krishna Nagar,East Azad Nagar,2,No
Pink,East Azad Nagar,Welcome,2,No
Pink,Welcome,Jaffrabad,2,Yes
Pink,Jaffrabad,Maujpur-Babarpur,2,No
Pink,Maujpur-Babarpur,Gokulpuri,2,No
Pink,Gokulpuri,Johri Enclave,2,No
Pink,Johri Enclave,Shiv Vihar,2,No
Pink,Shiv Vihar,End,0,No

Grey,Dwarka,Nangli,3,Yes
Grey,Nangli,Najafgarh,3,No
Grey,Najafgarh,Dhansa Bus Stand,3,No
Grey,Dhansa Bus Stand,End,0,No

Orange,New Delhi,Shivaji Stadium,3,Yes
Orange,Shivaji Stadium,Dhaula Kuan,6,Yes
Orange,Dhaula Kuan,Delhi Aerocity,4,No
Orange,Delhi Aerocity,IGI Airport,4,No
Orange,IGI Airport,Dwarka Sector 21,3,Yes
Orange,Dwarka Sector 21,Yashobhoomi Dwarka Sector 25,3,No
Orange,Yashobhoomi Dwarka Sector 25,End,0,No
